Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
431,TheOdd1sOut,19100000,4566120190,Comedy,139,United States,US,Comedy,30986000,7700,123900,93000,1500000,2014,Aug,30,88.2,37.09024,-95.712891
432,Goldmines Great Indian Comedy,19100000,5194942269,Film & Animation,2948,nan,nan,Film,65920000,16500,263700,197800,3200000,2016,Aug,29,nan,nan,nan
433,Lil Nas X,19100000,6339584661,Music,37,nan,nan,Music,46192000,11500,184800,138600,2200000,2018,May,19,nan,nan,nan
434,ýýýýýýýýýýýýýý ýýýý,19000000,4924054368,Education,60,United States,US,Entertainment,21587000,5400,86300,64800,1000000,2018,Feb,20,88.2,37.09024,-95.712891
435,SUPER SLICK SLIME SAM,19000000,7229175322,Howto & Style,903,Mexico,MX,Howto,123338000,30800,493400,370000,5900000,2018,Jan,23,40.2,23.634501,-102.552784
436,Wow Kidz Action,19000000,8281724393,Film & Animation,1525,India,IN,Entertainment,105706000,26400,422800,317100,5100000,2017,Nov,8,28.1,20.593684,78.96288
437,Turma da Mï¿½ï¿½,19000000,13824277846,Film & Animation,1154,Brazil,BR,Film,76903000,19200,307600,230700,3700000,2012,Jul,30,51.3,-14.235004,-51.92528
438,Calvin Harris,19000000,16014044618,Music,79,United Kingdom,GB,Music,102410000,25600,409600,307200,4900000,2007,Feb,11,60,55.378051,-3.435973
439,KBS WORLD TV,19000000,15126092508,Entertainment,64496,South Korea,KR,Entertainment,107989000,27000,432000,324000,5200000,2007,Jan,6,94.3,35.907757,127.766922
440,HiMan,18900000,2855519150,People & Blogs,375,Russia,RU,Entertainment,24563000,6100,98300,73700,1200000,2014,Oct,16,81.9,61.52401,105.318756
441,Masha e o Urso,18900000,8301731337,Shows,0,nan,nan,nan,nan,0,0,0,0,2014,Feb,20,nan,nan,nan
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108,Education,719,Mexico,MX,Education,140398000,35100,561600,421200,6700000,2018,Jan,26,40.2,23.634501,-102.552784
443,TED-Ed,18800000,3654621568,Education,2072,United States,US,Education,29874000,7500,119500,89600,1400000,2011,Mar,1,88.2,37.09024,-95.712891
444,Sidemen,18800000,5257834105,Entertainment,312,United Kingdom,GB,Entertainment,78158000,19500,312600,234500,3800000,2015,Jun,14,60,55.378051,-3.435973
445,Cardi B,18800000,7634430188,People & Blogs,9,nan,nan,nan,7,0,0.03,0.02,0,2017,Aug,15,nan,nan,nan
446,Busy Fun Ltd,18800000,7762077012,nan,2,nan,nan,nan,nan,0,0,0,0,2021,Dec,21,nan,nan,nan
447,Farruko,18800000,9573641299,Music,217,United States,US,Music,97758000,24400,391000,293300,4700000,2009,Oct,30,88.2,37.09024,-95.712891
448,ýýýýýýýýýýýýýýýýýýýýýý,18800000,9594188708,Entertainment,530,Ukraine,UA,Entertainment,68006000,17000,272000,204000,3300000,2014,Oct,20,82.7,48.379433,31.16558
449,Triggered Insaan,18800000,3276891538,Comedy,304,India,IN,People,109026000,27300,436100,327100,5200000,2014,Jul,17,28.1,20.593684,78.96288
450,CKN,18700000,12295637162,Entertainment,16,Spain,ES,Music,102,0.03,0.41,0.31,5,2005,Sep,26,88.9,40.463667,-3.74922
451,Ali-A,18700000,6148303268,Gaming,2,nan,nan,People,1,0,0,0,0,2016,Jul,7,nan,nan,nan
452,Shemaroo Comedy,18600000,6047584292,Entertainment,4487,India,IN,Comedy,102431000,25600,409700,307300,4900000,2007,Jan,31,28.1,20.593684,78.96288
453,Smile Family Spanish,18600000,7008250496,nan,457,United States,US,Entertainment,43396000,10800,173600,130200,2100000,2019,Jun,19,88.2,37.09024,-95.712891
454,GRAMMY GOLD OFFICIAL,18600000,20196704276,Music,6287,Thailand,TH,Music,168597000,42100,674400,505800,8100000,2014,Jan,15,49.3,15.870032,100.992541
455,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,8761255550,Gaming,6289,Saudi Arabia,SA,Games,43007000,10800,172000,129000,2100000,2013,Nov,29,68,23.885942,45.079162
456,Dan-Sa / Daniel Saboya,18500000,2908120896,Music,1329,Brazil,BR,Music,6148000000,0,0,0,0,2007,Sep,22,51.3,-14.235004,-51.92528
457,Marmok,18500000,3457618361,Gaming,374,Russia,RU,Games,38282000,9600,153100,114800,1800000,2008,Apr,27,81.9,61.52401,105.318756
458,The ACE Family,18500000,4558380251,People & Blogs,712,nan,nan,People,2835000,709,11300,8500,136100,2016,Jan,10,nan,nan,nan
459,Like Nastya Vlog,18500000,8147575884,People & Blogs,493,Russia,RU,People,48947000,12200,195800,146800,2300000,2016,Jan,14,81.9,61.52401,105.318756
460,Willie Salim,18500000,4051072188,People & Blogs,679,Indonesia,ID,People,197369000,49300,789500,592100,9500000,2014,Jan,6,36.3,-0.789275,113.921327
461,PDK Films,18400000,4120324310,Entertainment,111,United States,US,Entertainment,14430000,3600,57700,43300,692600,2009,Jul,21,88.2,37.09024,-95.712891
462,TheWillyrex,18400000,7038827526,Comedy,6943,Spain,ES,Games,11004000,2800,44000,33000,528200,2011,Jan,26,88.9,40.463667,-3.74922
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793,Music,3159,Thailand,TH,Music,54133000,13500,216500,162400,2600000,2011,Mar,8,49.3,15.870032,100.992541
464,Dhar Mann,18400000,11280732382,People & Blogs,0,nan,nan,nan,nan,0,0,0,0,2007,Apr,25,nan,nan,nan
465,shakiraVEVO,18400000,25367126292,Music,197,United States,US,Music,267126000,66800,1100000,801400,12800000,2009,Sep,2,88.2,37.09024,-95.712891
466,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,People & Blogs,786,Indonesia,ID,Entertainment,17063000,4300,68300,51200,819000,2017,Jul,8,36.3,-0.789275,113.921327
467,Miley Cyrus,18300000,7760819588,Entertainment,142,United States,US,Entertainment,127982000,32000,511900,383900,6100000,2009,Sep,15,88.2,37.09024,-95.712891
