Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
212,Alan Chikin Chow,26400000,27006526665,Comedy,865,United States,US,Comedy,1046000000.0,261500.0,4200000.0,3100000.0,50200000,2020.0,Feb,3.0,88.2,37.09024,-95.712891
213,PANDA BOI,26400000,17211600007,Entertainment,967,Italy,IT,Entertainment,1225000000.0,306400.0,4900000.0,3700000.0,58800000,2020.0,Dec,5.0,61.9,41.87194,12.56738
214,BB Ki Vines,26300000,4749833967,Entertainment,190,India,IN,Entertainment,17264000.0,4300.0,69100.0,51800.0,828600,2015.0,Jun,20.0,28.1,20.593684,78.96288
216,Junya,26200000,16097531087,Entertainment,5985,Japan,JP,Entertainment,721848000.0,180500.0,2900000.0,2200000.0,34600000,2020.0,Sep,14.0,63.2,36.204824,138.252924
217,Smosh,26100000,10435474336,Comedy,1619,United States,US,Comedy,68156000.0,17000.0,272600.0,204500.0,3300000,2005.0,Nov,19.0,88.2,37.09024,-95.712891
220,Beyonc,26000000,17308961985,Music,240,United States,US,Music,55454000.0,13900.0,221800.0,166400.0,2700000,2005.0,Nov,7.0,88.2,37.09024,-95.712891
222,Indosiar,25900000,11372071889,Music,65286,Indonesia,ID,Entertainment,230183000.0,57500.0,920700.0,690500.0,11000000,2013.0,Sep,23.0,36.3,-0.789275,113.921327
223,VanossGaming,25800000,15541421838,Gaming,1762,Canada,CA,Games,54947000.0,13700.0,219800.0,164800.0,2600000,2011.0,Sep,15.0,68.9,56.130366,-106.346771
224,David Guetta,25700000,17793809548,Music,749,United States,US,Music,164215000.0,41100.0,656900.0,492600.0,7900000,2009.0,Dec,11.0,88.2,37.09024,-95.712891
225,LosPolinesios,25700000,7466926260,People  Blogs,982,Mexico,MX,People,30501000.0,7600.0,122000.0,91500.0,1500000,2012.0,Dec,16.0,40.2,23.634501,-102.552784
226,Nicki Minaj,25700000,10242981063,Music,42,United States,US,Music,103631000.0,25900.0,414500.0,310900.0,5000000,2013.0,Aug,28.0,88.2,37.09024,-95.712891
228,TaylorSwiftVEVO,25600000,25592378292,Music,287,United States,US,Music,318593000.0,79600.0,1300000.0,955800.0,15300000,2009.0,May,12.0,88.2,37.09024,-95.712891
230,Post Malone,25500000,14401218086,Music,78,United States,US,Music,195499000.0,48900.0,782000.0,586500.0,9400000,2011.0,Dec,15.0,88.2,37.09024,-95.712891
231,Rans Entertainment,25400000,6430853035,People  Blogs,3716,Indonesia,ID,Entertainment,58487000.0,14600.0,233900.0,175500.0,2800000,2015.0,Dec,27.0,36.3,-0.789275,113.921327
232,LankyBox,25400000,34300482066,Comedy,8775,United States,US,Games,815341000.0,203800.0,3300000.0,2400000.0,39100000,2016.0,Jul,30.0,88.2,37.09024,-95.712891
233,Coldplay,25300000,17331663193,Music,398,United Kingdom,GB,Music,198875000.0,49700.0,795500.0,596600.0,9500000,2010.0,Jan,3.0,60.0,55.378051,-3.435973
235,WB Kids,25200000,11081602368,People  Blogs,2025,United States,US,Film,140319000.0,35100.0,561300.0,421000.0,6700000,2015.0,Mar,31.0,88.2,37.09024,-95.712891
238,The Lallantop,25200000,10409352249,News  Politics,51129,India,IN,News,273920000.0,68500.0,1100000.0,821800.0,13100000,2015.0,Mar,23.0,28.1,20.593684,78.96288
239,RihannaVEVO,25100000,19458807708,Music,118,United States,US,Music,94246000.0,23600.0,377000.0,282700.0,4500000,2009.0,May,12.0,88.2,37.09024,-95.712891
